entry_date,exit_date,ticker,side,entry_price,exit_price,sl,tp,shares,pnl,win_prob,outcome
2022-06-15,2022-06-15,ADANIENT.NS,BUY,2214.324379458096,2181.109513766224,2181.109513766224,2280.7541108418386,2,-66.42973138374327,0.6644032597541809,SL
2022-06-16,2022-06-16,SBIN.NS,BUY,430.4665500203016,424.0095517699971,424.0095517699971,443.3805465209107,11,-71.0269807533499,0.6951838135719299,SL
2022-06-16,2022-06-16,TCS.NS,BUY,3084.7288189747774,3038.4578866901556,3038.4578866901556,3177.270683544021,1,-46.27093228462172,0.6520853042602539,SL
2022-08-19,2022-08-19,ADANIENT.NS,BUY,3173.509856684568,3125.9072088342996,3125.9072088342996,3268.7151523851053,1,-47.60264785026857,0.6591015458106995,SL
2022-08-22,2022-08-22,ADANIENT.NS,BUY,3129.572055963852,3082.6284751243943,3082.6284751243943,3223.4592176427677,1,-46.94358083945781,0.8984903693199158,SL
2022-09-08,2022-09-13,ADANIENT.NS,SELL,3494.0562750901054,3546.467119216457,3546.467119216457,3389.2345868374023,1,-52.41084412635155,0.7714911699295044,SL
2022-09-15,2022-09-15,INFY.NS,BUY,1366.3908462433817,1345.894983549731,1345.894983549731,1407.382571630683,3,-61.48758808095204,0.8132182359695435,SL
2022-09-23,2022-09-23,SBIN.NS,BUY,534.1700365315244,526.1574859835515,526.1574859835515,550.1951376274701,8,-64.10040438378292,0.6020365357398987,SL
2022-09-26,2022-09-26,ADANIENT.NS,BUY,3641.14823966292,3586.531016067976,3586.531016067976,3750.3826868528076,1,-54.61722359494388,0.8258655667304993,SL
2022-09-26,2022-09-26,AXISBANK.NS,BUY,756.9946330813846,745.6397135851638,745.6397135851638,779.7044720738261,6,-68.12951697732456,0.6461820602416992,SL
2022-09-27,2022-09-27,ADANIENT.NS,SELL,3590.9193005879924,3483.1917215703525,3644.7830900968124,3483.1917215703525,1,107.72757901763998,0.7078855633735657,TP
2022-09-29,2022-09-29,ADANIENT.NS,BUY,3578.436814376659,3524.7602621610095,3524.7602621610095,3685.789918807959,1,-53.676552215649735,0.8492356538772583,SL
2022-09-30,2022-10-03,AXISBANK.NS,BUY,718.0976211190294,739.6405497526004,707.326156802244,739.6405497526004,6,129.25757180142546,0.7749362587928772,TP
2022-10-03,2022-10-06,AXISBANK.NS,BUY,729.0685954085686,750.9406532708257,718.1325664774402,750.9406532708257,6,131.2323471735424,0.6266112923622131,TP
2022-11-16,2022-11-16,ADANIENT.NS,BUY,4051.567686872965,3990.7941715698707,3990.7941715698707,4173.114717479154,1,-60.77351530309443,0.6995402574539185,SL
2022-11-23,2022-11-23,ADANIENT.NS,BUY,4044.277838069837,3983.6136704987894,3983.6136704987894,4165.606173211932,1,-60.66416757104753,0.7507669925689697,SL
2022-12-21,2022-12-21,ADANIENT.NS,BUY,4169.101015699344,4106.5645004638545,4106.5645004638545,4294.174046170325,1,-62.53651523548979,0.6360340118408203,SL
2023-01-16,2023-01-17,INFY.NS,SELL,1414.1007294931478,1435.312240435545,1435.312240435545,1371.6777076083533,3,-63.63453282719138,0.7458693981170654,SL
2023-01-27,2023-01-27,ADANIENT.NS,BUY,3330.2883232358454,3280.3339983873075,3280.3339983873075,3430.1969729329207,1,-49.95432484853791,0.8250249028205872,SL
2023-02-01,2023-02-01,ADANIENT.NS,BUY,2990.7682891943814,2945.9067648564655,2945.9067648564655,3080.4913378702126,1,-44.86152433791585,0.9755856394767761,SL
2023-02-02,2023-02-02,ADANIENT.NS,BUY,2345.5315813411253,2310.3486076210083,2310.3486076210083,2415.897528781359,2,-70.36594744023387,0.9760437607765198,SL
2023-02-09,2023-02-09,ADANIENT.NS,BUY,2164.936966025569,2132.4629115351854,2132.4629115351854,2229.8850750063357,2,-64.94810898076685,0.9652618169784546,SL
2023-02-10,2023-02-10,ADANIENT.NS,BUY,1766.5006359460613,1819.495655024443,1740.0031264068703,1819.495655024443,2,105.9900381567636,0.972279965877533,TP
2023-02-13,2023-02-13,ADANIENT.NS,BUY,1847.3862533756512,1902.8078409769207,1819.6754595750165,1902.8078409769207,2,110.84317520253899,0.9603253602981567,TP
2023-02-14,2023-02-14,ADANIENT.NS,SELL,1732.548722779059,1680.5722610956873,1758.536953620745,1680.5722610956873,2,103.95292336674356,0.7727574110031128,TP
2023-02-15,2023-02-15,ADANIENT.NS,SELL,1777.4851786219208,1804.1474563012496,1804.1474563012496,1724.1606232632632,2,-53.32455535865756,0.6966373324394226,SL
2023-02-16,2023-02-16,ADANIENT.NS,SELL,1817.428609147854,1844.690038285072,1844.690038285072,1762.9057508734186,2,-54.52285827443575,0.8501775860786438,SL
2023-02-17,2023-02-17,ADANIENT.NS,BUY,1797.4568247205748,1770.4949723497662,1770.4949723497662,1851.380529462192,2,-53.92370474161726,0.9329428672790527,SL
